Unnamed: 0,vertex_id,vertex_name,type,movie_str_url
190,190,A Quiet Place Part II,movie,A+Quiet+Place+Part+II
191,191,The Fallout,movie,The+Fallout
192,192,Old,movie,Old
193,193,Bottoms,movie,Bottoms
194,194,Clueless,movie,Clueless
195,195,The Godfather,movie,The+Godfather
196,196,Free Guy,movie,Free+Guy
197,197,Where the Crawdads Sing,movie,Where+the+Crawdads+Sing
198,198,"Crazy, Stupid, Love.",movie,Crazy+Stupid+Love.
199,199,The Wolf of Wall Street,movie,The+Wolf+of+Wall+Street
200,200,Halloween,movie,Halloween
201,201,Memories of Murder,movie,Memories+of+Murder
202,202,The French Dispatch,movie,The+French+Dispatch
203,203,Carol,movie,Carol
204,204,In the Heights,movie,In+the+Heights
205,205,Pulp Fiction,movie,Pulp+Fiction
206,206,Fantastic Beasts: The Secrets of Dumbledore,movie,Fantastic+Beasts+The+Secrets+of+Dumbledore
207,207,Halloween Kills,movie,Halloween+Kills
208,208,Taxi Driver,movie,Taxi+Driver
209,209,The Royal Tenenbaums,movie,The+Royal+Tenenbaums
210,210,"tick, tick? BOOM!",movie,tick+tick?+BOOM!
211,211,The Edge of Seventeen,movie,The+Edge+of+Seventeen
212,212,Citizen Kane,movie,Citizen+Kane
213,213,When Harry Met Sally? ,movie,When+Harry+Met+Sally?+
214,214,Ex Machina,movie,Ex+Machina
215,215,CODA,movie,CODA
216,216,Nightcrawler,movie,Nightcrawler
217,217,Alien,movie,Alien
218,218,12 Angry Men,movie,12+Angry+Men
219,219,Knock at the Cabin,movie,Knock+at+the+Cabin
220,220,The Killing of a Sacred Deer,movie,The+Killing+of+a+Sacred+Deer
221,221,Before Midnight,movie,Before+Midnight
222,222,"Lyle, Lyle, Crocodile",movie,Lyle+Lyle+Crocodile
223,223,Loki,movie,Loki
224,224,Purple Hearts,movie,Purple+Hearts
225,225,GoodFellas,movie,GoodFellas
226,226,Us,movie,Us
227,227,WandaVision,movie,WandaVision
228,228,Bo Burnham: Inside,movie,Bo+Burnham+Inside
229,229,A Quiet Place,movie,A+Quiet+Place
230,230,Burning,movie,Burning
231,231,Pinocchio,movie,Pinocchio
232,232,You People,movie,You+People
233,233,Requiem for a Dream,movie,Requiem+for+a+Dream
234,234,Reservoir Dogs,movie,Reservoir+Dogs
235,235,The Kissing Booth 3,movie,The+Kissing+Booth+3
236,236,House of Gucci,movie,House+of+Gucci
237,237,191 6,movie,191+6
238,238,The Shape of Water,movie,The+Shape+of+Water
239,239,Notting Hill,movie,Notting+Hill
240,240,Days of Summer,movie,Days+of+Summer
241,241,Palm Springs,movie,Palm+Springs
242,242,Megamind,movie,Megamind
243,243,Tangled,movie,Tangled
244,244,The Virgin Suicides,movie,The+Virgin+Suicides
245,245,The Nice Guys,movie,The+Nice+Guys
246,246,Frances Ha,movie,Frances+Ha
247,247,Love Actually,movie,Love+Actually
248,248,Fantastic Four,movie,Fantastic+Four
249,249,WALLÃÂ·E,movie,WALL-E
250,250,Annihilation,movie,Annihilation
251,251,Soul,movie,Soul
252,252,The Matrix Resurrections,movie,The+Matrix+Resurrections
253,253,Memento,movie,Memento
254,254,Phantom Thread,movie,Phantom+Thread
255,255,Venom: Let There Be Carnage,movie,Venom+Let+There+Be+Carnage
256,256,Mean Girls,movie,Mean+Girls
257,257,About Time,movie,About+Time
